2026-02-27 18:21:15,320 - root - INFO - [Worker-1/PID-27871] - Worker 1 (PID: 27871) logging initialized
2026-02-27 18:21:15,322 - root - INFO - [Worker-1/PID-27871] - Worker 1 starting (PID: 27871)
2026-02-27 18:21:16,104 - root - INFO - [Worker-1/PID-27871] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-02-27 18:21:16,105 - root - INFO - [Worker-1/PID-27871] - Worker 1 initialized successfully
2026-02-27 18:22:22,781 - root - INFO - [Worker-1/PID-27871] - [1012166480] {'request_id': 1012166480, 'input_seq_len': 1353, 'output_seq_len': 751, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.861586', 'http_post_time': '2026-02-27 18:21:24.861646', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:22.781483', 'zmq_push_time': '2026-02-27 18:22:22.781483', 'total_time_s': 57.91989707946777, 'http_queue_latency_s': 6.008148193359375e-05}
2026-02-27 18:22:26,971 - root - INFO - [Worker-1/PID-27871] - [1012335952] {'request_id': 1012335952, 'input_seq_len': 2395, 'output_seq_len': 611, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.771268', 'http_post_time': '2026-02-27 18:21:25.771335', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:26.971515', 'zmq_push_time': '2026-02-27 18:22:26.971515', 'total_time_s': 61.2002477645874, 'http_queue_latency_s': 6.699562072753906e-05}
2026-02-27 18:22:29,532 - root - INFO - [Worker-1/PID-27871] - [1012176720] {'request_id': 1012176720, 'input_seq_len': 1673, 'output_seq_len': 902, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.930576', 'http_post_time': '2026-02-27 18:21:24.930634', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:29.532254', 'zmq_push_time': '2026-02-27 18:22:29.532254', 'total_time_s': 64.60167789459229, 'http_queue_latency_s': 5.888938903808594e-05}
2026-02-27 18:22:29,719 - root - INFO - [Worker-1/PID-27871] - [1012232016] {'request_id': 1012232016, 'input_seq_len': 853, 'output_seq_len': 828, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.236801', 'http_post_time': '2026-02-27 18:21:25.236868', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:29.719704', 'zmq_push_time': '2026-02-27 18:22:29.719704', 'total_time_s': 64.48290348052979, 'http_queue_latency_s': 6.747245788574219e-05}
2026-02-27 18:22:30,033 - root - INFO - [Worker-1/PID-27871] - [1012203344] {'request_id': 1012203344, 'input_seq_len': 1258, 'output_seq_len': 874, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.086223', 'http_post_time': '2026-02-27 18:21:25.086275', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:30.033590', 'zmq_push_time': '2026-02-27 18:22:30.033590', 'total_time_s': 64.94736671447754, 'http_queue_latency_s': 5.1975250244140625e-05}
2026-02-27 18:22:30,370 - root - INFO - [Worker-1/PID-27871] - [1012228432] {'request_id': 1012228432, 'input_seq_len': 1917, 'output_seq_len': 846, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.215901', 'http_post_time': '2026-02-27 18:21:25.216040', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:30.370558', 'zmq_push_time': '2026-02-27 18:22:30.370558', 'total_time_s': 65.15465688705444, 'http_queue_latency_s': 0.00013971328735351562}
2026-02-27 18:22:31,154 - root - INFO - [Worker-1/PID-27871] - [1012170576] {'request_id': 1012170576, 'input_seq_len': 2277, 'output_seq_len': 946, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.889780', 'http_post_time': '2026-02-27 18:21:24.889857', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:31.154082', 'zmq_push_time': '2026-02-27 18:22:31.154082', 'total_time_s': 66.26430249214172, 'http_queue_latency_s': 7.724761962890625e-05}
2026-02-27 18:22:31,380 - root - INFO - [Worker-1/PID-27871] - [1012270928] {'request_id': 1012270928, 'input_seq_len': 3514, 'output_seq_len': 809, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.461373', 'http_post_time': '2026-02-27 18:21:25.461454', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:31.380726', 'zmq_push_time': '2026-02-27 18:22:31.380726', 'total_time_s': 65.91935300827026, 'http_queue_latency_s': 8.106231689453125e-05}
2026-02-27 18:22:31,769 - root - INFO - [Worker-1/PID-27871] - [1012189520] {'request_id': 1012189520, 'input_seq_len': 2270, 'output_seq_len': 934, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.013369', 'http_post_time': '2026-02-27 18:21:25.013491', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:31.769190', 'zmq_push_time': '2026-02-27 18:22:31.769190', 'total_time_s': 66.75582098960876, 'http_queue_latency_s': 0.00012230873107910156}
2026-02-27 18:22:32,764 - root - INFO - [Worker-1/PID-27871] - [1012214608] {'request_id': 1012214608, 'input_seq_len': 1990, 'output_seq_len': 918, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.144619', 'http_post_time': '2026-02-27 18:21:25.144695', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:32.764812', 'zmq_push_time': '2026-02-27 18:22:32.764812', 'total_time_s': 67.62019300460815, 'http_queue_latency_s': 7.62939453125e-05}
2026-02-27 18:22:32,809 - root - INFO - [Worker-1/PID-27871] - [1012187472] {'request_id': 1012187472, 'input_seq_len': 3188, 'output_seq_len': 956, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.001742', 'http_post_time': '2026-02-27 18:21:25.001825', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:32.809654', 'zmq_push_time': '2026-02-27 18:22:32.809654', 'total_time_s': 67.80791211128235, 'http_queue_latency_s': 8.344650268554688e-05}
