2026-02-27 18:20:43,334 - root - INFO - [Worker-1/PID-26575] - Worker 1 (PID: 26575) logging initialized
2026-02-27 18:20:43,335 - root - INFO - [Worker-1/PID-26575] - Worker 1 starting (PID: 26575)
2026-02-27 18:20:44,157 - root - INFO - [Worker-1/PID-26575] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-02-27 18:20:44,157 - root - INFO - [Worker-1/PID-26575] - Worker 1 initialized successfully
2026-02-27 18:22:17,445 - root - INFO - [Worker-1/PID-26575] - [1012264400] {'request_id': 1012264400, 'input_seq_len': 643, 'output_seq_len': 473, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.428532', 'http_post_time': '2026-02-27 18:21:25.428593', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:17.445645', 'zmq_push_time': '2026-02-27 18:22:17.445645', 'total_time_s': 52.017112731933594, 'http_queue_latency_s': 6.0558319091796875e-05}
2026-02-27 18:22:21,841 - root - INFO - [Worker-1/PID-26575] - [1012166608] {'request_id': 1012166608, 'input_seq_len': 1654, 'output_seq_len': 721, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.863014', 'http_post_time': '2026-02-27 18:21:24.863095', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:21.841205', 'zmq_push_time': '2026-02-27 18:22:21.841205', 'total_time_s': 56.978190422058105, 'http_queue_latency_s': 8.082389831542969e-05}
2026-02-27 18:22:23,309 - root - INFO - [Worker-1/PID-26575] - [1012171216] {'request_id': 1012171216, 'input_seq_len': 2051, 'output_seq_len': 752, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.892908', 'http_post_time': '2026-02-27 18:21:24.892978', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:23.309758', 'zmq_push_time': '2026-02-27 18:22:23.309758', 'total_time_s': 58.416850090026855, 'http_queue_latency_s': 7.009506225585938e-05}
2026-02-27 18:22:26,538 - root - INFO - [Worker-1/PID-26575] - [1012262864] {'request_id': 1012262864, 'input_seq_len': 3699, 'output_seq_len': 702, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.420986', 'http_post_time': '2026-02-27 18:21:25.421084', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:26.538246', 'zmq_push_time': '2026-02-27 18:22:26.538246', 'total_time_s': 61.11725974082947, 'http_queue_latency_s': 9.775161743164062e-05}
2026-02-27 18:22:27,541 - root - INFO - [Worker-1/PID-26575] - [1012186064] {'request_id': 1012186064, 'input_seq_len': 1433, 'output_seq_len': 831, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.990957', 'http_post_time': '2026-02-27 18:21:24.991056', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:27.541587', 'zmq_push_time': '2026-02-27 18:22:27.541587', 'total_time_s': 62.55063009262085, 'http_queue_latency_s': 9.918212890625e-05}
2026-02-27 18:22:28,167 - root - INFO - [Worker-1/PID-26575] - [1012229072] {'request_id': 1012229072, 'input_seq_len': 1154, 'output_seq_len': 784, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.219017', 'http_post_time': '2026-02-27 18:21:25.219083', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:28.167584', 'zmq_push_time': '2026-02-27 18:22:28.167584', 'total_time_s': 62.948566913604736, 'http_queue_latency_s': 6.580352783203125e-05}
2026-02-27 18:22:28,497 - root - INFO - [Worker-1/PID-26575] - [1012270032] {'request_id': 1012270032, 'input_seq_len': 1905, 'output_seq_len': 735, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.456654', 'http_post_time': '2026-02-27 18:21:25.456751', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:28.496934', 'zmq_push_time': '2026-02-27 18:22:28.496934', 'total_time_s': 63.04028034210205, 'http_queue_latency_s': 9.751319885253906e-05}
2026-02-27 18:22:28,652 - root - INFO - [Worker-1/PID-26575] - [1012189648] {'request_id': 1012189648, 'input_seq_len': 7093, 'output_seq_len': 850, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.013997', 'http_post_time': '2026-02-27 18:21:25.014136', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:28.651901', 'zmq_push_time': '2026-02-27 18:22:28.651901', 'total_time_s': 63.637903690338135, 'http_queue_latency_s': 0.00013828277587890625}
2026-02-27 18:22:30,065 - root - INFO - [Worker-1/PID-26575] - [1012159440] {'request_id': 1012159440, 'input_seq_len': 8838, 'output_seq_len': 927, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:24.814437', 'http_post_time': '2026-02-27 18:21:24.814715', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:30.065579', 'zmq_push_time': '2026-02-27 18:22:30.065579', 'total_time_s': 65.25114130973816, 'http_queue_latency_s': 0.0002772808074951172}
2026-02-27 18:22:30,100 - root - INFO - [Worker-1/PID-26575] - [1012188624] {'request_id': 1012188624, 'input_seq_len': 1574, 'output_seq_len': 887, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.008341', 'http_post_time': '2026-02-27 18:21:25.008413', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:30.100512', 'zmq_push_time': '2026-02-27 18:22:30.100512', 'total_time_s': 65.09217119216919, 'http_queue_latency_s': 7.176399230957031e-05}
2026-02-27 18:22:30,259 - root - INFO - [Worker-1/PID-26575] - [1012195280] {'request_id': 1012195280, 'input_seq_len': 3242, 'output_seq_len': 881, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 18:21:25.044724', 'http_post_time': '2026-02-27 18:21:25.044817', 'first_token_time': None, 'final_token_time': '2026-02-27 18:22:30.259382', 'zmq_push_time': '2026-02-27 18:22:30.259382', 'total_time_s': 65.2146577835083, 'http_queue_latency_s': 9.250640869140625e-05}
