2026-03-03 01:22:25,930 - root - INFO - [Worker-1/PID-26239] - Worker 1 (PID: 26239) logging initialized
2026-03-03 01:22:25,932 - root - INFO - [Worker-1/PID-26239] - Worker 1 starting (PID: 26239)
2026-03-03 01:22:26,681 - root - INFO - [Worker-1/PID-26239] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-03-03 01:22:26,682 - root - INFO - [Worker-1/PID-26239] - Worker 1 initialized successfully
2026-03-03 01:22:40,759 - root - INFO - [Worker-1/PID-26239] - [521347584] {'request_id': 521347584, 'input_seq_len': 230, 'output_seq_len': 552, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.210852', 'http_post_time': '2026-03-03 01:22:27.210881', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:40.759116', 'zmq_push_time': '2026-03-03 01:22:40.759116', 'total_time_s': 13.548264026641846, 'http_queue_latency_s': 2.9325485229492188e-05}
2026-03-03 01:22:45,818 - root - INFO - [Worker-1/PID-26239] - [521370112] {'request_id': 521370112, 'input_seq_len': 354, 'output_seq_len': 782, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.241116', 'http_post_time': '2026-03-03 01:22:27.241147', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:45.818323', 'zmq_push_time': '2026-03-03 01:22:45.818323', 'total_time_s': 18.57720708847046, 'http_queue_latency_s': 3.0994415283203125e-05}
2026-03-03 01:22:47,901 - root - INFO - [Worker-1/PID-26239] - [521348096] {'request_id': 521348096, 'input_seq_len': 213, 'output_seq_len': 881, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.211522', 'http_post_time': '2026-03-03 01:22:27.211558', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:47.901170', 'zmq_push_time': '2026-03-03 01:22:47.901170', 'total_time_s': 20.689648151397705, 'http_queue_latency_s': 3.528594970703125e-05}
2026-03-03 01:22:48,022 - root - INFO - [Worker-1/PID-26239] - [521393152] {'request_id': 521393152, 'input_seq_len': 318, 'output_seq_len': 881, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.276964', 'http_post_time': '2026-03-03 01:22:27.279487', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:48.021898', 'zmq_push_time': '2026-03-03 01:22:48.021898', 'total_time_s': 20.744933366775513, 'http_queue_latency_s': 0.0025224685668945312}
2026-03-03 01:22:48,925 - root - INFO - [Worker-1/PID-26239] - [521411584] {'request_id': 521411584, 'input_seq_len': 309, 'output_seq_len': 920, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.286476', 'http_post_time': '2026-03-03 01:22:27.286996', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:48.925126', 'zmq_push_time': '2026-03-03 01:22:48.925126', 'total_time_s': 21.638649702072144, 'http_queue_latency_s': 0.0005199909210205078}
2026-03-03 01:22:49,642 - root - INFO - [Worker-1/PID-26239] - [521313792] {'request_id': 521313792, 'input_seq_len': 410, 'output_seq_len': 967, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.175426', 'http_post_time': '2026-03-03 01:22:27.175488', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:49.642655', 'zmq_push_time': '2026-03-03 01:22:49.642655', 'total_time_s': 22.46722936630249, 'http_queue_latency_s': 6.222724914550781e-05}
2026-03-03 01:22:50,592 - root - INFO - [Worker-1/PID-26239] - [521341952] {'request_id': 521341952, 'input_seq_len': 474, 'output_seq_len': 1005, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.204349', 'http_post_time': '2026-03-03 01:22:27.204385', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:50.591973', 'zmq_push_time': '2026-03-03 01:22:50.591973', 'total_time_s': 23.38762331008911, 'http_queue_latency_s': 3.528594970703125e-05}
2026-03-03 01:22:50,926 - root - INFO - [Worker-1/PID-26239] - [521290752] {'request_id': 521290752, 'input_seq_len': 243, 'output_seq_len': 1028, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.118586', 'http_post_time': '2026-03-03 01:22:27.118704', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:50.926204', 'zmq_push_time': '2026-03-03 01:22:50.926204', 'total_time_s': 23.807618379592896, 'http_queue_latency_s': 0.00011849403381347656}
2026-03-03 01:22:51,004 - root - INFO - [Worker-1/PID-26239] - [521333760] {'request_id': 521333760, 'input_seq_len': 188, 'output_seq_len': 1026, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.195270', 'http_post_time': '2026-03-03 01:22:27.195302', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:51.003884', 'zmq_push_time': '2026-03-03 01:22:51.003884', 'total_time_s': 23.808614015579224, 'http_queue_latency_s': 3.170967102050781e-05}
2026-03-03 01:22:51,046 - root - INFO - [Worker-1/PID-26239] - [521365504] {'request_id': 521365504, 'input_seq_len': 434, 'output_seq_len': 1023, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.235976', 'http_post_time': '2026-03-03 01:22:27.236010', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:51.046128', 'zmq_push_time': '2026-03-03 01:22:51.046128', 'total_time_s': 23.81015133857727, 'http_queue_latency_s': 3.3855438232421875e-05}
2026-03-03 01:22:51,782 - root - INFO - [Worker-1/PID-26239] - [521423872] {'request_id': 521423872, 'input_seq_len': 456, 'output_seq_len': 1047, 'num_chunks': 0, 'zmq_recv_time': '2026-03-03 01:22:27.304739', 'http_post_time': '2026-03-03 01:22:27.304772', 'first_token_time': None, 'final_token_time': '2026-03-03 01:22:51.782137', 'zmq_push_time': '2026-03-03 01:22:51.782137', 'total_time_s': 24.477397441864014, 'http_queue_latency_s': 3.314018249511719e-05}
